tweet_id,text,label,text_clean,label_num
1975021519115010336,Los moderados se aplazaron. Interrumpieron por las razones incorrectas. Se rompieron las reglas del debate y dejaron pasar.,negative,los moderados se aplazaron interrumpieron por las razones incorrectas se rompieron las reglas del debate y dejaron pasar,0
1975021266185920876,"Lo parafraseas después de que todo el debate fue un ataque , queriendo denigrar al otro candidato.",negative,lo parafraseas después de que todo el debate fue un ataque  queriendo denigrar al otro candidato,0
1975021212892807516,"De dónde salió ese gordo masista que dice que Lara lo sorprendió en el debate, no puede ser tan sinvergüenza.",negative,de dónde salió ese gordo masista que dice que lara lo sorprendió en el debate no puede ser tan sinvergüenza,0
1975021157079478462,Ortuño dónde viste el debate?,negative,ortuño dónde viste el debate,0
1975020864522608818,Que desperdicio de tiempo este debate en particular,negative,que desperdicio de tiempo este debate en particular,0
1975020845295923658,#AsuntosCentrales| El candidato Edmand Lara mencionó en el debate la polémica de los tuits racistas y afirmó que Juan Pablo Velasco no tuvo la humildad para disculparse.,negative,asuntoscentrales el candidato edmand lara mencionó en el debate la polémica de los tuits racistas y afirmó que juan pablo velasco no tuvo la humildad para disculparse,0
1975041281408811471,"Se quejan que el debate vicepresidenci fue un desastre. Yo digo, por lo menos ya hay debates, antes ni eso había.",positive,se quejan que el debate vicepresidenci fue un desastre yo digo por lo menos ya hay debates antes ni eso había,1
1975036017041449229,"JP Velasco pudo haber llevado al debate los frondosos expedientes de los delitos y extorsiones de Lara. Pero  no bajó al barro, prefirió hablarle al país de su programa de gobierno y no de miserias. Eso se llama liderazgo. 🇧🇴💪",positive,jp velasco pudo haber llevado al debate los frondosos expedientes de los delitos y extorsiones de lara pero  no bajó al barro prefirió hablarle al país de su programa de gobierno y no de miserias eso se llama liderazgo ,1
1975031206136996103,"JP ganó tranqui el debate. Edman Lara se mostró muy incómodo, dubitativo, nervioso y agresivo. Usó la única carta que tenía hasta la trivialización. Incumplió la reglas a vista y paciencia de los moderadores. Improvisó sobre la marcha e hizo al menos un par de ridículos.",positive,jp ganó tranqui el debate edman lara se mostró muy incómodo dubitativo nervioso y agresivo usó la única carta que tenía hasta la trivialización incumplió la reglas a vista y paciencia de los moderadores improvisó sobre la marcha e hizo al menos un par de ridículos,1
1975028218538381570,"No hacía falta el debate para resaltar esto, creo que lo más importante del debate es dejar al descubierto al masismo disfrazado en Lara.",positive,no hacía falta el debate para resaltar esto creo que lo más importante del debate es dejar al descubierto al masismo disfrazado en lara,1
1975027099720409570,la mejor parte del debate si me lo pregunta fue cuando el Lara quedó cuñape duro,positive,la mejor parte del debate si me lo pregunta fue cuando el lara quedó cuñape duro,1
1975023780914434143,"Da un pasito hacia atrás y ve el panorama. Para el debate, cada participante se planteó un objetivo y me parece que el que tuvo mas temple para cumplirlo, fue Lara. Dudo que JP haya cumplido el suyo.",positive,da un pasito hacia atrás y ve el panorama para el debate cada participante se planteó un objetivo y me parece que el que tuvo mas temple para cumplirlo fue lara dudo que jp haya cumplido el suyo,1
1975022925440049278,"Que debate viste, JP aplastó al initil de Lara",positive,que debate viste jp aplastó al initil de lara,1
1975022773136507048,"Da un pasito hacia atrás y ve el panorama. Para el debate, cada participante se planteó un objetivo y me parece que el que tuvo mas temple para cumplirlo, fue Lara. Dudo que JP haya cumplido el suyo. https://t.co/oNwmAVOqau",positive,da un pasito hacia atrás y ve el panorama para el debate cada participante se planteó un objetivo y me parece que el que tuvo mas temple para cumplirlo fue lara dudo que jp haya cumplido el suyo ,1
