tweet_id,text,label
1975096428910539148,"Un debate con una producción vergonzosa los moderadores le tuvieron miedo a Lara para decirle callate respeta!! Un debate Lara solo atacó y no supo proponer para las temáticas, un JP intimidado aunque con interés de proponer, se aplazó el TSE mucho miedo a Lara increíble 🤦🏻‍♂️",negative
1975082633643069630,"Anoche quedó claro quién está preparado… y quién da vergüenza. Juan Pablo Velasco subió al debate con ideas, propuestas y liderazgo. Edman Lara llegó con gritos, insultos y contradicciones. Mientras uno hablaba del futuro, el otro convirtió el escenario en un basurero verbal. Porque cuando no hay ideas, aparece el odio. Y cuando el que practica la guerra sucia se victimiza… es porque ya no tiene argumentos. Bolivia no necesita agitadores con micrófono. Necesita líderes con respuestas. Y anoche, nos sentimos profundamente orgullosos de Juan Pablo Velasco: firme, claro, respetuoso, preparado. Como debe ser. Lara no debatió. Atacó. No respondió. Agredió. No propuso. Se desbordó. Como siempre. Lo vimos todos: Un joven líder al que da gusto escuchar… Y un candidato al que da vergüenza ver.",negative
1975074979436958095,"Moderadores del debate: qué propuestas plantea para reformar el estado y atraer dólares e inversiones? Lara: a ver mira tu tuit racista JP di algo",negative
1975058204355944694,"El invitado confundió un debate con un palenque... Ha debido querer que se agarren a sopapos para ver quien pega más fuerte y así decidir quien ganó. Perdido en su concepción de debate. Impresentable",negative
1975054530158211486,"Cordura? 🤣☝️🤣 Parece que este PazPaco @Rodrigo_PazP venía de otro debate. Porque ""cordura"" ha sido lo último que ha demostrado, y evidentemente no vio ni escucho a su vicepresidenciable.",negative
1975053263449071825,"Lara decía días atrás: ""el colla sino la caga a la entrada la caga a la salida"", y literalmente en el debate, él, la cagó por todo lado, a la entrada, al medio y a la salida 😅.",negative
1975052547288440900,"Un #debate vacío entre 1 #racista y 1 energúmeno sin conocimiento de sus propuestas, resultados de un #ProcesoElectoral MANIPULADO que ha excluido a las verdaderas mayorías pretendiendo dividir al #BloqoePopular y proscribiendo a su candidato #legítimo, @evoespueblo.",negative
1975052226340237527,"Con razón los masistas están apoyando al PDC, el ordinario de Lara resultó igualito a Evo. En una hora de debate este tipo no expuso ni una propuesta, pura acusaciones.",negative
1975050077581517214,"EL DEBATE VICEPRESIDENCIAL TRANSCURRIÓ ENTRE ACUSACIONES, PROPUESTAS Y ERRORES DE PARTE DE LOS MODERADORES Leer más 👉 https://oxigeno.bo/politica/68430",negative
1975049955879620748,"El miope de SamueLITIO tratando de aventajar a su ya desfavorecido ExCapitan Lara, con la palabra de aventajado. Y minimizando al único que dio respuestas claras. Samuel ni en su campaña pudo decir algo creíble que si su debate de él hubiera sido contra Velasco habría perdido",negative
1975049724446245374,"Lo que el pueblo vio en el debate.",negative
1975048197249835078,"Sí tu único logro en un debate es llamar a alguien racista, realmente fuiste a debatir? La muletilla más fue usar el racismo, que ojo 20 años los masistas separaron a este país con ese veneno. Samuel deje de respirar por la herida, ya es adulto, no se ve serio.",negative
1975048161833193863,"Yo quedé así con solo ver el debate.",negative
1975046410845491595,"Para que poner reglas al debate? Si igual las incumplieron? Si hay reglas debe existir medidas ej. suspender debate. “El que necesita saltarse las reglas para ganar, ya perdió.”",negative
1975043536312488018,"FALSO. NO PRONUNCIÓ LA PALABRA JUBILADOS. Vaya y vea el debate otra vez. No se equivoque así, Rodrigo merece más prolijidad en su equipo. Improvisación es lo que sobra.",negative
1975042758776934819,"🟠 #Visión360 |  “Pobre” y carente de propuestas, así califican al debate vicepresidencial entre Lara y Velasco #VisiónElectoral #Elecciones2025 https://www.vision360.bo/noticias/2025/10/05/32708-pobre-y-con-carencia-de-propuestas-asi-califican-al-debate-vicepresidencial-entre-lara-y-velasco",negative
1975042702849999250,"Seeeee, pienso así también, quiere el debate para ser protagonista ella.",negative
1975042404165005633,"Una decepción Espinoza, siempre exigió debate y ahora anda como la no senadora Bejarano, un quemazo juntarse con Lara.",negative
1975042383047012546,"Juan Pablo Velasco, candidato a la Vicepresidencia de Libre, llama “Evo” a su rival Edman Lara, del PDC, durante el debate de este domingo.",negative
1975042027726508394,"La participación de Lara tuvo dos ejes: racismo y corrupción. Eso llega a la gente. JP Velasco intentó ser más programático, pero fue débil y confuso. El formato de debate elegido no sirve. Los periodistas invitados de adorno.",negative
1975041725715579211,"El periodismo anda mal por conclusiones como la d este Sr. q ve en un debate a alguien q quiere zafarse de acusaciones según el importantes haciendo propuestas con visión de futuro. Las acusaciones q la presente a la justicia a mi me importa un rábano, el debate es para propuesta",negative
1975041649505132948,"Una prueba antidoping hubiese sido necesaria  antes del debate vice presidencial. Algo no estaba muy bien por ahí. Para el del próximo domingo ojalá lo hagan. Parece que el MAS ya está repartiendo sus pasteles especiales...",negative
1975040655450935417,"El debate es una cancha pugilista. El debate de hoy fue cualquier cosa.",negative
1975037624994967783,"@ANBOLIVIA: TENSO Y CORTO DEBATE ENTRE CANDIDATOS MINIMIZA PRO... https://anbolivia.blogspot.com/2025/10/tenso-y-corto-debate-entre-candidatos.html?spref=tw #DebateVicepresidencial|#Bolivia|#SantaCruz",negative
1975037379141656894,"@ANBOLIVIA: TENSO Y CORTO DEBATE ENTRE CANDIDATOS MINIMIZA PRO... https://anbolivia.blogspot.com/2025/10/tenso-y-corto-debate-entre-candidatos.html?spref=tw",negative
1975036981827797028,"@ANBOLIVIA: ACUSACIONES MARCAN EL DEBATE VICEPRESIDENCIAL ENTR... https://anbolivia.blogspot.com/2025/10/acusaciones-marcan-el-debate.html?spref=tw",negative
